Category,Category description,Data Type,Data type description
Location,"A geographical point, area, route, or place identified by coordinates, altitude, address components, descriptive names, or relative descriptions. It represents where something is situated, occurs, originates, or is destined, including precise addresses, general locations, regions, paths, landmarks, and other location-related information.",,
Location,,Altitude,"The elevation of a location above sea level, typically measured in meters or feet."
Location,,Exact address,"Detailed information about a location, including street name and number, unit (apartment or suite), city, state/province, postal code, and country."
Location,,City,"An urban area defined by administrative boundaries, often with its own local government."
Location,,Street,The name and number of the street or road where a location is situated.
Location,,State/province,"A regional division within a country, often with its own local government."
Location,,Country,A distinct territorial entity recognized as an independent nation with its own government and borders.
Location,,Postcode,The postal code or ZIP code used for mail delivery in a specific area.
Location,,Place of interest,"Notable locations significant for tourism, culture, or local importance, such as landmarks, restaurants, or parks."
Location,,GPS coordinates,The specific geographic latitude and longitude that pinpoint a location.
Location,,Relative location,A description of a place's position in relation to other landmarks or locations.
Location,,Route,The path or course taken to travel from one location to another.
Location,,General location,The name of a specific location or place without detailed address information.
Location,,Origin/destination,"The starting point (origin) or ending point (destination) of a journey, route, or transaction."
Location,,Region,"A geographical area larger than a city or county, such as a district or area within a country, often used for administrative or statistical purposes."
Location,,Other,Any other location-related information not covered by the above sub-data types.
Time,"A measurement or reference point that specifies when events occur, durations between events, or periods during which events take place, encompassing moments, intervals, and cycles.",,
Time,,Year,"A unit of time consisting of 12 months, used to specify a particular calendar year or mark the passage of years."
Time,,Time period,"An interval or length of time that specifies when something occurs, exists, or is valid. It encompasses specific durations expressed in units like seconds, minutes, hours, or days, as well as spans between two points in time."
Time,,Season,"A division of the year marked by specific weather patterns and daylight hours, such as spring, summer, autumn (fall), or winter; can also refer to periods like 'the rainy season' or 'harvest season.'"
Time,,Month,"One of the twelve divisions of the calendar year, each lasting between 28 and 31 days."
Time,,Week,"A seven-day period, often starting on a specific day, used to segment time within a month."
Time,,Time of day,"Specific times within a day, ranging from general hours like '3 PM' to exact moments like '1:23 PM.'"
Time,,Date,"A specific day identified by the calendar, including day, month, and possibly year (e.g., 'July 4th,' 'Monday, March 3rd')."
Time,,Relative time,"Information describing the timing of an event in relation to another time or event. For example, \""2 hours before sunset\"" or \""30 minutes after the meeting starts.\"""
Time,,Timezone,"A geographical region where the same standard time is used, defined as an offset from Coordinated Universal Time (UTC). Timezones help specify local time, accounting for variations in time across different parts of the world due to the Earth's rotation. Examples include 'UTC-5:00' (Eastern Standard Time) and 'UTC+1:00' (Central European Time)."
Time,,Frequency,"Specifies how often an event occurs or data is collected, such as daily, weekly, monthly, quarterly, annually, etc."
Time,,Timestamp,"An exact point in time, represented in formats like ISO 8601 or RFC 3339 date-time, indicating a specific date and time."
Time,,Other,Any other time-related information not covered by the above sub-data types.
